african-elephants
Location,Year,Definite,Probable,Possible,Speculative,Total
Africa,1995,286233,101288,164075,29582,581178
Africa,1998,301733,56196,60780,68596,487305
Africa,2002,402067,59024,99813,99307,660211
Africa,2007,472269,82704,84334,50364,689671
Africa,2013,399986,70351,93048,48818,612203
Africa,2015,390887,61057,77884,35256,565084
Africa,2021,,,,,415000
Botswana,1995,62998,8588,8588,0,80174
Botswana,1998,76644,13414,13414,0,103472
Botswana,2002,100629,21237,21237,0,143103
Botswana,2007,133829,20829,20829,0,175487
Botswana,2013,133453,20818,20818,0,175089
Botswana,2015,119118,12508,12508,0,144134
Botswana,2021,,,,,130000
Burkina Faso,1995,1469,583,583,0,2635
Burkina Faso,1998,1616,606,1486,0,3708
Burkina Faso,2002,2031,833,1059,0,3923
Burkina Faso,2007,4154,320,520,0,4994
Burkina Faso,2013,4203,2084,2132,1311,9730
Burkina Faso,2015,4726,2124,2173,20,9043
Cameroon,1995,1100,6689,8824,600,17213
Cameroon,1998,1071,5285,8704,675,15735
Cameroon,2002,2006,3058,9017,3160,17241
Cameroon,2007,179,726,4965,9517,15387
Cameroon,2013,2230,4234,4870,2575,13909
Cameroon,2015,5886,2417,1488,55,9846
Cameroon,2021,,,,,6500
Central Africa,1995,7320,81657,128648,7594,225219
Central Africa,1998,7322,27104,27613,63469,125508
Central Africa,2002,16450,32263,64477,82563,195753
Central Africa,2007,10383,48936,43098,34129,136546
Central Africa,2013,12144,46262,57652,15699,131757
Central Africa,2015,16307,43880,48537,17152,125876
Central African Republic,1995,1750,0,2640,4894,9284
Central African Republic,1998,2515,1600,6605,8000,18720
Central African Republic,2002,2977,1600,2420,390,7387
Central African Republic,2007,109,1689,1036,500,3334
Central African Republic,2013,464,245,397,529,1635
Central African Republic,2015,457,245,444,627,1773
Cote d'Ivoire,1995,551,250,810,585,2196
Cote d'Ivoire,1998,51,0,495,645,1191
Cote d’Ivoire,2002,63,0,360,666,1089
Cote d’Ivoire,2007,188,152,119,506,965
Cote d’Ivoire,2013,189,135,135,678,1137
Cote d’Ivoire,2015,59,135,273,509,976
Democratic Republic of Congo,1995,4470,13174,65974,0,83618
Democratic Republic of Congo,1998,3736,20219,5618,120,29693
Democratic Republic of Congo,2002,7667,2631,34996,17554,62848
Democratic Republic of Congo,2007,2447,7955,8855,4457,23714
Democratic Republic of Congo,2013,1729,3823,5223,3687,14462
Democratic Republic of Congo,2015,1814,2224,1473,4989,10500
Democratic Republic of Congo,2021,,,,,7000
Eastern Africa,1995,90482,16707,20000,1084,128273
Eastern Africa,1998,83770,22698,17216,1495,125179
Eastern Africa,2002,117716,17702,22511,5738,163667
Eastern Africa,2007,137485,29043,35124,3545,205197
Eastern Africa,2013,88503,12324,15674,7731,124232
Eastern Africa,2015,75824,10651,13041,9483,108999
Ethiopia,1995,847,0,1560,0,2407
Ethiopia,1998,321,0,0,985,1306
Ethiopia,2002,396,0,965,335,1696
Ethiopia,2007,634,0,920,206,1760
Ethiopia,2013,47,27,351,578,1003
Ethiopia,2015,1017,0,1160,0,2177
Ghana,1995,245,427,1416,443,2531
Ghana,1998,476,218,1185,443,2322
Ghana,2002,530,428,1100,303,2361
Ghana,2007,789,387,241,12,1429
Ghana,2013,935,266,129,59,1389
Ghana,2015,926,124,93,183,1326
Kenya,1995,13834,5273,6447,924,26478
Kenya,1998,14364,11350,4882,100,30696
Kenya,2002,22036,1101,3097,2572,28806
Kenya,2007,23353,1316,4946,2021,31636
Kenya,2013,25292,513,3602,5498,34905
Kenya,2015,22809,0,400,7707,30916
Kenya,2022,,,,,35500
Malawi,1995,1111,540,436,250,2337
Malawi,1998,647,1569,1649,20,3885
Malawi,2002,647,1569,1649,20,3885
Malawi,2007,185,323,632,1587,2727
Malawi,2013,1223,218,461,97,1999
Malawi,2015,1307,0,398,0,1705
Mozambique,1995,717,108,485,15100,16410
Mozambique,1998,6898,1946,4496,0,13340
Mozambique,2002,11647,2786,3073,6902,24408
Mozambique,2007,14079,2396,2633,6980,26088
Mozambique,2013,16092,3240,6333,5624,31289
Mozambique,2015,8655,2229,2250,4423,17557
Mozambique,2022,,,,,10800
Namibia,1995,5843,3058,3058,0,11959
Namibia,1998,6263,1421,1421,0,9105
Namibia,2002,7769,1872,1872,0,11513
Namibia,2007,12531,3276,3296,0,19103
Namibia,2013,13684,2871,2891,0,19446
Namibia,2015,18448,4306,4396,0,27150
Rwanda,1995,39,0,32,10,81
Rwanda,1998,39,0,20,10,69
Rwanda,2002,34,0,0,66,100
Rwanda,2007,34,0,37,46,117
Rwanda,2013,0,0,0,37,37
Rwanda,2015,88,0,0,37,125
